Invoice ID,Date,Customer Name,Customer Email,Product,Category,Quantity,Price Per Unit (BDT),Payment Method,City,Total Price
bdd640fb-0667-4ad1-9c80-317fa3b1799d,2024-09-27,আশীষ চন্দ্র,debaaphiphaa@example.com,Detergent,Household,8,50,Debit Card,Khulna,400
37f8a88b-17fc-495a-87a0-ca6e0822e8f3,2024-09-11,অদৃতা সরকার,shaarminkhaanm@example.org,Smartphone,Electronics,22,10860,Credit Card,Rangpur,238920
cf36d58b-4737-4190-96da-1dac72ff5d2a,2025-05-16,চঞ্চল মোড়ল,ekraamul23@example.com,Laptop,Electronics,1,65795,Credit Card,Rajshahi,65795
18c26797-6142-4a7d-97be-31111a2a73ed,2024-10-30,মুনতাকিম হক,tnmy78@example.org,Jeans,Clothing,17,2130,Credit Card,Rajshahi,36210
142c3fe8-60e7-4113-ac1b-8ca1f91e1d4c,2025-01-13,মোস্তাফিজ সিনহা,priymkumaar@example.net,Notebook,Stationery,14,70,Debit Card,Barishal,980
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,2024-07-13,কাফি জাহান,daacaaryy@example.net,Pen,Stationery,9,92,Credit Card,Khulna,828
5ec42e08-29a3-42e9-9d65-a441d58842de,2024-10-28,মনোজ পাণ্ডে,raayaashaaltaa@example.net,Electric Kettle,Appliances,11,2095,Mobile Payment,Khulna,23045
6123fdf7-7656-4f72-a9d4-beef3eabedcb,2024-09-25,হৈমন্তী দাশগুপ্তা,nyn30@example.com,Jeans,Clothing,11,2130,Credit Card,Chittagong,23430
3602f8ac-10f1-4c81-848a-aa9e66b2bc5b,2025-06-02,প্রিয়াঙ্কা দে,psaahaa@example.com,Electric Kettle,Appliances,4,2095,Mobile Payment,Mymensing,8380
3f22faf8-23be-401d-83cf-2fde24933b83,2025-03-29,হৈমন্তী মৃধা,xsin@example.org,Pen,Stationery,9,92,Credit Card,Barishal,828
827050a8-2369-4584-bf5e-9ff0ff50bde4,2024-12-21,সৌমিক চৌধুরী,shuklaaphaarihaa@example.org,Notebook,Stationery,4,70,Cash on Delivery,Chittagong,280
98ae4334-6c12-4ce8-ae34-0454cac5b68c,2024-07-07,মুশফিক হাকিম,kaaberi01@example.net,Notebook,Stationery,10,70,Mobile Payment,Rajshahi,700
444ea7c8-c039-4710-8976-e334e2817efd,2025-04-07,ঋষিতা চট্টোপাধ্যায়,priiti27@example.org,Smartphone,Electronics,2,10860,Debit Card,Sylhet,21720
b83cfe0b-e037-45ed-b8db-0672f42d47cc,2024-09-23,আরাধ্যা সরকার,ghossmaalihaa@example.net,Smartphone,Electronics,8,10860,Credit Card,Rangpur,86880
